    Step    Atoms         KinEng            CPU         Volume 
  150001     1005  2.3338009e-06              0          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  193501     1005  6.7315324e-07  3.5279656e-06      840.47342          0.011 
  194000     1005  5.8123429e-07   3.072249e-06       833.3453          0.011 
  194001     1005  5.8105545e-07  3.0713484e-06      833.33101          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  194001     1005  5.8105545e-07  3.0713484e-06      840.47342          0.011 
  194501     1005  4.9589281e-07  2.6284352e-06       833.3337          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  194501     1005  4.9589281e-07  2.6284352e-06      840.47342          0.011 
  195000     1005  4.1628662e-07  2.2067535e-06      833.35045          0.011 
  195001     1005   4.161293e-07  2.2059346e-06      833.33617          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  195001     1005   4.161293e-07  2.2059346e-06      840.47342          0.011 
  195501     1005  3.3903444e-07  1.8112457e-06      833.33844          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  195501     1005  3.3903444e-07  1.8112457e-06      840.47342          0.011 
  196000     1005  2.6815445e-07  1.4482994e-06      833.35478          0.011 
  196001     1005  2.6802056e-07  1.4476051e-06      833.34052          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  196001     1005  2.6802056e-07  1.4476051e-06      840.47342          0.011 
  196501     1005  2.0510553e-07  1.1187323e-06      833.34241          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  196501     1005  2.0510553e-07  1.1187323e-06      840.47342          0.011 
  197000     1005  1.4951141e-07  8.3004805e-07      833.35838          0.011 
  197001     1005  1.4940714e-07  8.2951161e-07      833.34412          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  197001     1005  1.4940714e-07  8.2951161e-07      840.47342          0.011 
  197501     1005  1.0141129e-07  5.8325889e-07      833.34566          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  197501     1005  1.0141129e-07  5.8325889e-07      840.47342          0.011 
  198000     1005  6.2485745e-08     3.8276e-07       833.3613          0.011 
  198001     1005  6.2417039e-08  3.8240534e-07      833.34704          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  198001     1005  6.2417039e-08  3.8240534e-07      840.47342          0.011 
  198501     1005  2.9429869e-08  2.0656876e-07      833.34828          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  198501     1005  2.9429869e-08  2.0656876e-07      840.47342          0.011 
  199000     1005  4.6738338e-09  8.2819466e-08      833.36362          0.011 
  199001     1005   4.643013e-09  8.2682864e-08      833.34937          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  199001     1005   4.643013e-09  8.2682864e-08      840.47342          0.011 
  199501     1005  4.3655042e-09  7.8693838e-08      833.35033          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  199501     1005  4.3655042e-09  7.8693838e-08      840.47342          0.011 
  200000     1005  1.0308559e-08   1.261887e-07      833.36541          0.011 
  200001     1005  1.0317603e-08  1.2634073e-07      833.35117          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  200001     1005  1.0317603e-08  1.2634073e-07      840.47342          0.011 
  200501     1005  2.4668629e-08  2.2149392e-07      833.35189          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  200501     1005  2.4668629e-08  2.2149392e-07      840.47342          0.011 
  201000     1005  5.5224541e-08   3.663959e-07      833.36675          0.011 
  201001     1005   5.529778e-08  3.6673352e-07      833.35251          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  201001     1005   5.529778e-08  3.6673352e-07      840.47342          0.011 
  201501     1005  9.0447566e-08  5.6356731e-07      833.35303          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  201501     1005  9.0447566e-08  5.6356731e-07      840.47342          0.011 
  202000     1005  1.3061277e-07  8.0758943e-07      833.36771          0.011 
  202001     1005  1.3070779e-07  8.0811653e-07      833.35347          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  202001     1005  1.3070779e-07  8.0811653e-07      840.47342          0.011 
  202501     1005  1.8383813e-07  1.0911825e-06      833.35382          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  202501     1005  1.8383813e-07  1.0911825e-06      840.47342          0.011 
  203000     1005  2.4178145e-07  1.4148119e-06      833.36834          0.011 
  203001     1005  2.4190179e-07  1.4154996e-06       833.3541          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  203001     1005  2.4190179e-07  1.4154996e-06      840.47342          0.011 
  203501     1005   3.063269e-07  1.7755531e-06      833.35432          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  203501     1005   3.063269e-07  1.7755531e-06      840.47342          0.011 
  204000     1005  3.7775177e-07  2.1646611e-06      833.36872          0.011 
  204001     1005  3.7789813e-07  2.1654705e-06      833.35449          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  204001     1005  3.7789813e-07  2.1654705e-06      840.47342          0.011 
  204501     1005  4.5222318e-07  2.5835137e-06       833.3546          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  204501     1005  4.5222318e-07  2.5835137e-06      840.47342          0.011 
  205000     1005   5.311701e-07  3.0218487e-06      833.36891          0.011 
  205001     1005  5.3133416e-07  3.0227438e-06      833.35467          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  205001     1005  5.3133416e-07  3.0227438e-06      840.47342          0.011 
  205501     1005  6.1486668e-07  3.4774606e-06      833.35471          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  205501     1005  6.1486668e-07  3.4774606e-06      840.47342          0.011 
  206000     1005  6.9895225e-07  3.9431804e-06      833.36895          0.011 
  206001     1005  6.9912104e-07   3.944122e-06      833.35471          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  206001     1005  6.9912104e-07   3.944122e-06      840.47342          0.011 
  206501     1005  7.8402772e-07  4.4165232e-06      833.35469          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  206501     1005  7.8402772e-07  4.4165232e-06      840.47342          0.011 
  207000     1005  8.6977153e-07   4.887205e-06      833.36889          0.011 
  207001     1005  8.6994343e-07  4.8881441e-06      833.35465          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  207001     1005  8.6994343e-07  4.8881441e-06      840.47342          0.011 
  207501     1005  9.5503953e-07  5.3539068e-06       833.3546          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  207501     1005  9.5503953e-07  5.3539068e-06      840.47342          0.011 
  208000     1005  1.0373795e-06  5.8078252e-06      833.36877          0.011 
  208001     1005  1.0375416e-06  5.8087202e-06      833.35453          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  208001     1005  1.0375416e-06  5.8087202e-06      840.47342          0.011 
  208501     1005  1.1170204e-06  6.2467687e-06      833.35445          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  208501     1005  1.1170204e-06  6.2467687e-06      840.47342          0.011 
  209000     1005  1.1928792e-06  6.6616478e-06      833.36861          0.011 
  209001     1005   1.193027e-06  6.6624538e-06      833.35437          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  209001     1005   1.193027e-06  6.6624538e-06      840.47342          0.011 
  209501     1005  1.2641991e-06  7.0510836e-06       833.3543          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  209501     1005  1.2641991e-06  7.0510836e-06      840.47342          0.011 
  210000     1005  1.3292665e-06  7.4074993e-06      833.36846          0.011 
  210001     1005  1.3293906e-06   7.408179e-06      833.35422          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
  210001     1005  1.3293906e-06   7.408179e-06      840.47342          0.011 
  210501     1005  1.3881395e-06  7.7292259e-06      833.35414          0.011 
    Step    Atoms         KinEng            rke       heattran         Volume 
